subj_idx,flashpres,beeppres,response,rt,stimName,type
3.0,3.0,0.0,1.0,0.35037053099949844,F3,u
3.0,2.0,0.0,1.0,0.4960499750013696,F2,u
3.0,2.0,0.0,1.0,0.5198844149999786,F2,u
3.0,3.0,0.0,1.0,0.49505518799924175,F3,u
3.0,3.0,0.0,1.0,0.4867516570011503,F3,u
3.0,2.0,0.0,1.0,0.4705612879988621,F2,u
3.0,2.0,0.0,1.0,0.4864725000006729,F2,u
3.0,2.0,0.0,1.0,1.264597457000491,F2,u
3.0,2.0,0.0,1.0,1.114621814002021,F2,u
3.0,2.0,0.0,1.0,0.6406634300001315,F2,u
3.0,2.0,0.0,1.0,0.5915844150003977,F2,u
3.0,3.0,0.0,0.0,0.4988808820016857,F3,u
3.0,2.0,0.0,1.0,0.4649354350003705,F2,u
3.0,2.0,0.0,1.0,0.459767683998507,F2,u
3.0,2.0,0.0,1.0,0.3934201240008406,F2,u
3.0,2.0,0.0,1.0,0.33636588000081247,F2,u
3.0,2.0,0.0,1.0,0.4613288000000466,F2,u
3.0,2.0,0.0,1.0,0.5079597360017942,F2,u
3.0,2.0,0.0,1.0,0.34401963200070895,F2,u
3.0,3.0,0.0,0.0,0.7588150129995483,F3,u
3.0,2.0,0.0,1.0,0.6098942029966565,F2,u
3.0,2.0,0.0,1.0,0.4298526120001043,F2,u
3.0,3.0,0.0,0.0,0.7044210880012542,F3,u
3.0,2.0,0.0,1.0,0.5490362950004055,F2,u
3.0,3.0,0.0,0.0,0.5135175639989029,F3,u
3.0,3.0,0.0,1.0,0.40133736899952055,F3,u
3.0,2.0,0.0,1.0,0.4790255689986225,F2,u
3.0,2.0,0.0,1.0,0.5875075410003774,F2,u
3.0,2.0,0.0,1.0,0.5714614229982544,F2,u
3.0,3.0,0.0,1.0,0.430955140000151,F3,u
3.0,2.0,0.0,1.0,0.4420989300015208,F2,u
3.0,3.0,0.0,1.0,0.5192077749998134,F3,u
3.0,3.0,0.0,1.0,0.3934965899970848,F3,u
4.0,2.0,0.0,1.0,1.6638455129977956,F2,u
4.0,2.0,0.0,1.0,1.095634572000563,F2,u
4.0,3.0,0.0,0.0,0.7550757289973262,F3,u
4.0,2.0,0.0,1.0,3.142034464999597,F2,u
4.0,2.0,0.0,1.0,0.8165244240008178,F2,u
4.0,2.0,0.0,1.0,1.7662126810027985,F2,u
4.0,2.0,0.0,1.0,2.424384601003112,F2,u
4.0,3.0,0.0,0.0,1.0448033860011492,F3,u
4.0,3.0,0.0,0.0,0.9710658939984569,F3,u
4.0,3.0,0.0,0.0,1.1225093530010781,F3,u
4.0,3.0,0.0,0.0,1.0427613319989177,F3,u
4.0,2.0,0.0,1.0,0.9207145180007501,F2,u
4.0,2.0,0.0,1.0,1.005042165001214,F2,u
4.0,3.0,0.0,0.0,0.713048647998221,F3,u
4.0,2.0,0.0,1.0,0.7359730910029612,F2,u
4.0,3.0,0.0,0.0,0.6277630570002657,F3,u
4.0,2.0,0.0,1.0,0.5828058250008326,F2,u
4.0,3.0,0.0,0.0,0.6749446270005137,F3,u
4.0,2.0,0.0,0.0,0.875418517000071,F2,u
4.0,3.0,0.0,0.0,1.2692524039994169,F3,u
4.0,3.0,0.0,1.0,0.9561511159990914,F3,u
4.0,2.0,0.0,1.0,0.6428380450015538,F2,u
4.0,3.0,0.0,1.0,0.6908070890021918,F3,u
4.0,2.0,0.0,1.0,0.8273641769992537,F2,u
4.0,2.0,0.0,1.0,1.011734386000171,F2,u
4.0,2.0,0.0,1.0,1.2956626279992633,F2,u
4.0,3.0,0.0,0.0,0.8516930309997406,F3,u
4.0,3.0,0.0,0.0,0.9381424410021282,F3,u
4.0,3.0,0.0,0.0,0.6797477069994784,F3,u
4.0,3.0,0.0,0.0,0.7073641599999974,F3,u
4.0,3.0,0.0,0.0,0.6934910739983025,F3,u
4.0,3.0,0.0,0.0,0.6565400030012825,F3,u
4.0,2.0,0.0,1.0,1.2967201560022659,F2,u
4.0,3.0,0.0,1.0,0.48067109899784555,F3,u
4.0,2.0,0.0,1.0,3.6289433229976567,F2,u
4.0,3.0,0.0,0.0,1.0217904800010729,F3,u
4.0,3.0,0.0,0.0,0.716188891998172,F3,u
4.0,2.0,0.0,1.0,0.8255284629995003,F2,u
4.0,2.0,0.0,1.0,0.7995582509975065,F2,u
4.0,2.0,0.0,0.0,0.9052523749996908,F2,u
4.0,3.0,0.0,1.0,1.4984762960011722,F3,u
4.0,3.0,0.0,1.0,0.7678263870002411,F3,u
4.0,3.0,0.0,0.0,0.572486557000957,F3,u
4.0,3.0,0.0,1.0,0.6484040739996999,F3,u
4.0,2.0,0.0,1.0,0.9047787560011784,F2,u
4.0,2.0,0.0,1.0,1.0306534880000982,F2,u
4.0,2.0,0.0,1.0,0.911997868999606,F2,u
4.0,3.0,0.0,0.0,0.9274713899976632,F3,u
4.0,3.0,0.0,1.0,1.0948058719986875,F3,u
4.0,3.0,0.0,0.0,1.1483267749972583,F3,u
4.0,3.0,0.0,0.0,0.637567220001074,F3,u
4.0,3.0,0.0,0.0,0.54754813800173,F3,u
4.0,3.0,0.0,0.0,0.6545113229985873,F3,u
4.0,2.0,0.0,1.0,0.5381620209991524,F2,u
4.0,2.0,0.0,1.0,0.6192373590019997,F2,u
4.0,2.0,0.0,1.0,0.505430584998976,F2,u
4.0,2.0,0.0,1.0,0.4858514040024602,F2,u
4.0,3.0,0.0,0.0,0.5275372979995154,F3,u
4.0,2.0,0.0,1.0,0.6544514390006952,F2,u
4.0,3.0,0.0,0.0,0.5011298659992462,F3,u
4.0,3.0,0.0,0.0,0.5901105610028026,F3,u
4.0,3.0,0.0,0.0,0.4391273799992632,F3,u
4.0,2.0,0.0,1.0,0.7392612420007936,F2,u
4.0,3.0,0.0,0.0,0.6382554500014521,F3,u
4.0,3.0,0.0,0.0,0.6021870779986784,F3,u
4.0,3.0,0.0,0.0,0.6607143159999396,F3,u
4.0,2.0,0.0,1.0,0.5988478940016648,F2,u
4.0,2.0,0.0,1.0,0.6240049160005583,F2,u
4.0,3.0,0.0,0.0,0.5188786109974899,F3,u
4.0,2.0,0.0,1.0,0.5847978279998642,F2,u
4.0,2.0,0.0,1.0,0.6698960969988548,F2,u
4.0,2.0,0.0,1.0,0.7360860810003942,F2,u
4.0,2.0,0.0,1.0,0.5575474059987755,F2,u
4.0,3.0,0.0,0.0,0.4263176349995774,F3,u
4.0,3.0,0.0,0.0,0.5859267419982643,F3,u
4.0,2.0,0.0,1.0,0.6652776099981565,F2,u
4.0,2.0,0.0,1.0,0.7750496939988807,F2,u
4.0,2.0,0.0,1.0,0.6418716730004235,F2,u
4.0,2.0,0.0,1.0,0.4913656990029267,F2,u
4.0,2.0,0.0,1.0,0.9870297770030447,F2,u
4.0,2.0,0.0,1.0,0.5123421870011953,F2,u
4.0,3.0,0.0,0.0,0.5338353730003291,F3,u
4.0,2.0,0.0,1.0,0.4142162919997645,F2,u
4.0,2.0,0.0,1.0,0.5101470070003415,F2,u
4.0,2.0,0.0,1.0,0.5630173919998924,F2,u
4.0,3.0,0.0,0.0,0.4560853379989567,F3,u
4.0,2.0,0.0,1.0,0.5707483589976619,F2,u
4.0,2.0,0.0,1.0,2.713995800997509,F2,u
4.0,2.0,0.0,1.0,0.6067144849985198,F2,u
4.0,2.0,0.0,1.0,0.5630194959994697,F2,u
4.0,2.0,0.0,1.0,0.9702690539998002,F2,u
4.0,2.0,0.0,1.0,0.4391498879995197,F2,u
4.0,3.0,0.0,0.0,0.3914963079987501,F3,u
4.0,3.0,0.0,0.0,0.22371903599923826,F3,u
4.0,3.0,0.0,0.0,1.369813253000757,F3,u
4.0,3.0,0.0,0.0,0.23348571699898457,F3,u
4.0,3.0,0.0,0.0,0.24067218900017906,F3,u
4.0,3.0,0.0,0.0,0.37480956200306537,F3,u
4.0,3.0,0.0,0.0,0.339859545998479,F3,u
4.0,3.0,0.0,0.0,0.3059837279979547,F3,u
5.0,2.0,0.0,1.0,1.0507006169991655,F2,u
5.0,2.0,0.0,1.0,0.9324363960004121,F2,u
5.0,3.0,0.0,0.0,0.6628768339996896,F3,u
5.0,3.0,0.0,1.0,0.9817230480002763,F3,u
5.0,2.0,0.0,0.0,1.2874750539995148,F2,u
5.0,3.0,0.0,0.0,0.7173482130001503,F3,u
5.0,2.0,0.0,1.0,1.070000218000132,F2,u
5.0,2.0,0.0,1.0,1.0388508519990864,F2,u
5.0,2.0,0.0,1.0,0.7461747920006019,F2,u
5.0,2.0,0.0,1.0,1.7594161950000853,F2,u
5.0,3.0,0.0,0.0,1.1774231270010205,F3,u
5.0,3.0,0.0,1.0,2.3011994019998383,F3,u
5.0,3.0,0.0,0.0,1.0939887500007899,F3,u
5.0,2.0,0.0,1.0,0.7301138689999789,F2,u
5.0,3.0,0.0,0.0,0.6482318590005889,F3,u
5.0,3.0,0.0,0.0,0.6005331260003004,F3,u
5.0,2.0,0.0,1.0,0.7242088410002907,F2,u
